waa’ankieli	escamaen el tobillo
waa’ankieliasema	posición deidioma de escala
waade	reivindicación
waadin	reclamando
waahdonestoaine	despumador
waahdote	producto espumante
waahdotin	espumante
waahdotus	espumación
waahtera	sicomoro
waahteranlehti	hoja de arce
waahterasiirappi	jarabe de arce
waahterasokeri	azúcar de arce
waahto	espuma para uso cutáneo
waahtoisuus	espumación
waahtokaramelli	malvavisco
waahtokarkki	Malvavisco
waahtokukka	flor de espuma
waahtokumi	caucho de espuma
waahtokumipatja	cojín de gomaespuma
waahtokupla	burbuja de espuma
waahtokylpy	bañera de hidromasaje
waahtokylpyaine	jabón de espuma
waahtolasi	vidrio celular
waahtomuovi	espuma
waahtomuovipatja	colchón de espuma
waahtomuovirouhe	moldeo de espuma
waahtopesu	lavado con espuma
waahtopesuaine	detergente de espuma
waahtopää	olas aborregadas
waahtosammutin	dispositivo de extinción por agua pulverizada
waahtosammutus	extinción por espuma
waaitus	alineamiento de guías
waaituskoje	nivel
waaka	báscula de equipaje
waaka-akseli	eje horizontal
waaka-asento	posición horizontal
waakaetäisyys	distancia horizontal
waakajuova	línea horizontal
waakakierre	rosca horizontal
waakakuppi	copa de báscula
waakalaudoitus	revestimiento horizontal
waakalauta	tablero horizontal
waakalento	vuelo horizontal
waakalintu	pájaro horizontal
waakapommitus	bombardeo horizontal
waakaraita	franja horizontal
waakarivi	fila horizontal
waakaseisonta	posición horizontal
waakasuunta	dirección horizontal de un objeto de disposición
waakatahdistus	sincronización horizontal
waakataso	Plano horizontal
waakaviiva	hilo nivelador
waakaviivoitus	línea horizontal
waakavuoraus	revestimiento horizontal
waakitus	vacilación
waaksa	palmo
waaksiainen	tijera
waakuna	escudo nacional
waakunakilpi	escudo
waakunalippu	bandera del escudo de armas
waakunaoppi	doctrina del escudo de armas
waaleaverikkö	rubio
waalenne	aligerar
waalennus	blanqueamiento
waaleus	claridad
waali	Elecciones
waaliavustaja	asesor electoral
waaliavustus	apoyo electoral
waaliehdokas	candidato electoral
waalihuoneisto	centro de votación
waalijuliste	cartel electoral
waalijärjestelmä	sistema electoral
waalikampanja	campaña electoral
waalikaranteeni	cuarentena electoral
waalikarja	ganado electoral
waalikausi	legislatura
waalikelpoisuus	derecho a ser elegible en las elecciones municipales
waalikeskustelu	debate electoral
waalikirja	libro electoral
waalikone	máquina de votación
waalikortti	cédula electoral
waalikuningas	rey electoral
waalikuori	dotación electoral
waalilautakunta	comité Electoral
waalilehti	revista electoral
waalileima	sello electoral
waaliliitto	alianza electoral
waalilippu	boleto electoral
waaliluettelo	lista electoral
waalilupaus	promesa electoral
waalimainos	anuncio electoral
waalimenestys	éxito electoral
waalimökki	urnas
waalinta	elección
waaliohjelma	programa electoral
waalioikeus	derecho de voto
waalipetos	fraude electoral
waalipiiri	circunscripción
waalipropaganda	propaganda electoral
waalipuhe	discurso electoral
waalipuhuja	portavoz electoral
waalipäivä	día de las elecciones
waalirahoitus	financiación electoral
waalirengas	anillo electoral
waalirikos	delito electoral
waalisaarna	sermón electoral
waalisalaisuus	secreto de la papeleta
waalisija	electorado
waalitaistelu	contienda electoral
waalitapa	método de elección
waalitappio	pérdida electoral
waalitarkkailija	observador electoral
waaliteema	tema electoral
waalitentti	examen electoral
waalitilaisuus	evento electoral
waalitoimikunta	comisión Electoral
waalitoimisto	oficina electoral
waalitoimitsija	funcionario electoral
waalitoimitus	entrega de elecciones
waalituki	apoyo electoral
waalitulos	resultado electoral
waalitulospalvelu	servicio de resultados electorales
waaliuurna	Urna
waalivaltti	poder electivo
waalivalvojaiset	vigilancia electoral
